,SUBJECT_28
training duration,86.04455709457397
,train,valid,test
logloss,0.5454772176621835,0.5678485674921431,1.5374660057357594
accuracy,0.9983122362869198,0.9895635673624289,0.7822784810126582
macro-precision,0.9953887435502167,0.9457350864928585,0.7388013056462254
macro-recall,0.9937577577982828,0.9283168180567025,0.6992115821229745
macro-f1,0.9945324201823107,0.9280389368317338,0.705697286460775
weighted-f1,0.9983111632225773,0.9890913729289039,0.7758262454544297
micro-f1,0.9983122362869198,0.9895635673624289,0.7822784810126582
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9996669996669997,1.0,1.0,0.9964504678928687,0.9964994165694281,0.9997044043748153,0.9914529914529915,0.983050847457627,0.9945945945945946,0.9933774834437086,1.0,0.979591836734694
valid,1.0,0.9966555183946488,1.0,0.9912536443148687,0.9921671018276762,1.0,0.9333333333333333,1.0,0.8421052631578948,0.8571428571428571,0.8571428571428571,0.6666666666666666
test,1.0,1.0,1.0,0.4635761589403974,0.8040201005025126,0.6379310344827586,0.8571428571428571,1.0,0.0,missed_category,missed_category,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1544.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,1.0,1708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1691.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
